FMT, 128, 89, FMT, BBnNZ, Type,Length,Name,Format,Columns
FMT, 129, 31, PARM, QNf, TimeUS,Name,Value
FMT, 130, 50, GPS, QBIHBcLLeeEefB, TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,RAlt,Alt,Spd,GCrs,VZ,U
FMT, 132, 49, IMU, QffffffIIfBB, TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,ErrG,ErrA,Temp,GyHlt,AcHlt
FMT, 133, 75, MSG, QZ, TimeUS,Message
FMT, 134, 39, RCIN, Qhhhhhhhhhhhhhh, TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
FMT, 135, 35, RCOU, Qhhhhhhhhhhhh, TimeUS,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12
FMT, 137, 25, BARO, Qffcf, TimeUS,Alt,Press,Temp,CRt
FMT, 138, 17, POWR, QCCH, TimeUS,Vcc,VServo,Flags
FMT, 145, 45, CMD, QHHHfffffff, TimeUS,CTot,CNum,CId,Prm1,Prm2,Prm3,Prm4,Lat,Lng,Alt
FMT, 146, 20, RAD, QBBBBBHH, TimeUS,RSSI,RemRSSI,TxBuf,Noise,RemNoise,RxErrors,Fixed
FMT, 148, 39, CAM, QIHLLeeccC, TimeUS,GPSTime,GPSWeek,Lat,Lng,Alt,RelAlt,Roll,Pitch,Yaw
FMT, 164, 29, ARSP, Qffcff, TimeUS,Airspeed,DiffPress,Temp,RawPress,Offset
FMT, 166, 25, CURR, QhhhHfh, TimeUS,Throttle,Volt,Curr,Vcc,CurrTot,Volt2
FMT, 165, 27, ATT, QccccCCCC, TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
FMT, 167, 30, MAG, QhhhhhhhhhB, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health
FMT, 170, 13, MODE, QMB, TimeUS,Mode,ModeNum
FMT, 131, 50, GPS2, QBIHBcLLeeEefB, TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,RAlt,Alt,Spd,GCrs,VZ,U
FMT, 136, 49, IMU2, QffffffIIfBB, TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,ErrG,ErrA,Temp,GyHlt,AcHlt
FMT, 149, 49, IMU3, QffffffIIfBB, TimeUS,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,ErrG,ErrA,Temp,GyHlt,AcHlt
FMT, 139, 29, AHR2, QccCfLL, TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng
FMT, 180, 27, POS, QLLff, TimeUS,Lat,Lng,Alt,RelAlt
FMT, 140, 29, SIM, QccCfLL, TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng
FMT, 141, 47, EKF1, QccCffffffccc, TimeUS,Roll,Pitch,Yaw,VN,VE,VD,PN,PE,PD,GX,GY,GZ
FMT, 142, 30, EKF2, Qbbbcchhhhhh, TimeUS,Ratio,AZ1bias,AZ2bias,VWN,VWE,MN,ME,MD,MX,MY,MZ
FMT, 143, 31, EKF3, Qcccccchhhc, TimeUS,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IVT
FMT, 144, 31, EKF4, QcccccccbbBBH, TimeUS,SV,SP,SH,SMX,SMY,SMZ,SVT,OFN,EFE,FS,TS,SS
FMT, 150, 34, TERR, QBLLHffHH, TimeUS,Status,Lat,Lng,Spacing,TerrH,CHeight,Pending,Loaded
FMT, 151, 18, UBX1, QBHBBH, TimeUS,Instance,noisePerMS,jamInd,aPower,agcCnt
FMT, 152, 16, UBX2, QBbBbB, TimeUS,Instance,ofsI,magI,ofsQ,magQ
FMT, 153, 24, UBX3, QBfff, TimeUS,Instance,hAcc,vAcc,sAcc
FMT, 171, 42, GRAW, QIHBBddfBbB, TimeUS,WkMS,Week,numSV,sv,cpMes,prMes,doMes,mesQI,cno,lli
FMT, 172, 24, GRXH, QdHbBB, TimeUS,rcvTime,week,leapS,numMeas,recStat
FMT, 173, 41, GRXS, QddfBBBHBBBBB, TimeUS,prMes,cpMes,doMes,gnss,sv,freq,lock,cno,prD,cpD,doD,trk
FMT, 154, 19, ESC1, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 155, 19, ESC2, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 156, 19, ESC3, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 157, 19, ESC4, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 158, 19, ESC5, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 159, 19, ESC6, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 160, 19, ESC7, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 161, 19, ESC8, Qcccc, TimeUS,RPM,Volt,Curr,Temp
FMT, 162, 28, EKF5, QBhhhcccCC, TimeUS,normInnov,FIX,FIY,AFI,HAGL,offset,RI,meaRng,errHAGL
FMT, 168, 30, MAG2, QhhhhhhhhhB, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health
FMT, 169, 30, MAG3, QhhhhhhhhhB, TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health
FMT, 174, 31, ACC1, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 175, 31, ACC2, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 176, 31, ACC3, QQfff, TimeUS,SampleUS,AccX,AccY,AccZ
FMT, 177, 31, GYR1, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 178, 31, GYR2, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 179, 31, GYR3, QQfff, TimeUS,SampleUS,GyrX,GyrY,GyrZ
FMT, 181, 35, PIDR, Qffffff, TimeUS,Des,P,I,D,FF,AFF
FMT, 182, 35, PIDP, Qffffff, TimeUS,Des,P,I,D,FF,AFF
FMT, 183, 35, PIDY, Qffffff, TimeUS,Des,P,I,D,FF,AFF
FMT, 184, 35, PIDA, Qffffff, TimeUS,Des,P,I,D,FF,AFF
FMT, 185, 35, PIDS, Qffffff, TimeUS,Des,P,I,D,FF,AFF
FMT, 163, 25, BAR2, Qffcf, TimeUS,Alt,Press,Temp,CRt
FMT, 186, 35, VIBE, QfffIII, TimeUS,VibeX,VibeY,VibeZ,Clip0,Clip1,Clip2
FMT, 187, 43, IMT, Qffffffff, TimeUS,DelT,DelvT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 188, 43, IMT2, Qffffffff, TimeUS,DelT,DelvT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 189, 43, IMT3, Qffffffff, TimeUS,DelT,DelvT,DelAX,DelAY,DelAZ,DelVX,DelVY,DelVZ
FMT, 190, 24, ORGN, QBLLe, TimeUS,Type,Lat,Lng,Alt
FMT, 191, 19, RPM, Qff, TimeUS,rpm1,rpm2
FMT, 2, 30, PM, QIHIhhhBH, TimeUS,LTime,MLC,gDt,GDx,GDy,GDz,I2CErr,INSErr
FMT, 3, 14, STRT, QBH, TimeUS,SType,CTot
FMT, 0, 27, CTUN, Qcccchhf, TimeUS,NavRoll,Roll,NavPitch,Pitch,ThrOut,RdrOut,AccY
FMT, 1, 33, NTUN, QCfccccfI, TimeUS,Yaw,WpDist,TargBrg,NavBrg,AltErr,Arspd,Alt,GSpdCM
FMT, 8, 31, SONR, QHfffBBf, TimeUS,DistCM,Volt,BaroAlt,GSpd,Thr,Cnt,Corr
FMT, 9, 14, ARM, QBH, TimeUS,ArmState,ArmChecks
FMT, 147, 27, ATRP, QBBcfff, TimeUS,Type,State,Servo,Demanded,Achieved,P
FMT, 10, 18, STAT, QBfBB, TimeUS,isFlying,isFlyProb,Armed,Safety
FMT, 11, 28, OF, QBffff, TimeUS,Qual,flowX,flowY,bodyX,bodyY
FMT, 6, 59, TECS, Qffffffffffff, TimeUS,h,dh,h_dem,dh_dem,sp_dem,sp,dsp,ith,iph,th,ph,dsp_dem
MSG, 3453000, ArduPlane V3.4.0 (368af2ce)
PARM, 3453000, FORMAT_VERSION, 13
PARM, 3454000, SYSID_SW_TYPE, 0
PARM, 3455000, SYSID_THISMAV, 1
PARM, 3456000, SYSID_MYGCS, 255
PARM, 3457000, CLI_ENABLED, 0
PARM, 3458000, SERIAL0_BAUD, 115
PARM, 3459000, SERIAL1_PROTOCOL, 1
PARM, 3460000, SERIAL1_BAUD, 57
PARM, 3461000, SERIAL2_PROTOCOL, 1
PARM, 3462000, SERIAL2_BAUD, 57
PARM, 3463000, SERIAL3_PROTOCOL, 5
PARM, 3464000, SERIAL3_BAUD, 38
PARM, 3465000, SERIAL4_PROTOCOL, 5
PARM, 3466000, SERIAL4_BAUD, 38
PARM, 3467000, AUTOTUNE_LEVEL, 6
PARM, 3468000, TELEM_DELAY, 0
PARM, 3469000, GCS_PID_MASK, 0
PARM, 3470000, KFF_RDDRMIX, 0.5
PARM, 3471000, KFF_THR2PTCH, 0
PARM, 3472000, STAB_PITCH_DOWN, 2
PARM, 3473000, GLIDE_SLOPE_MIN, 15
PARM, 3474000, GLIDE_SLOPE_THR, 5
PARM, 3475000, STICK_MIXING, 1
PARM, 3476000, SKIP_GYRO_CAL, 1
PARM, 3477000, AUTO_FBW_STEER, 0
PARM, 3478000, TKOFF_THR_MINSPD, 0
PARM, 3479000, TKOFF_THR_MINACC, 0
PARM, 3480000, TKOFF_THR_DELAY, 2
PARM, 3481000, TKOFF_TDRAG_ELEV, 0
PARM, 3482000, TKOFF_TDRAG_SPD1, 0
PARM, 3483000, TKOFF_ROTATE_SPD, 0
PARM, 3484000, TKOFF_THR_SLEW, 0
PARM, 3485000, TKOFF_FLAP_PCNT, 0
PARM, 3486000, FBWA_TDRAG_CHAN, 0
PARM, 3487000, LEVEL_ROLL_LIMIT, 5
PARM, 3488000, LAND_PITCH_CD, 100
PARM, 3489000, LAND_FLARE_ALT, 3
PARM, 3490000, LAND_FLARE_SEC, 5
PARM, 3491000, LAND_DISARMDELAY, 20
PARM, 3492000, NAV_CONTROLLER, 1
PARM, 3493000, ALT_MIX, 1
PARM, 3494000, ALT_CTRL_ALG, 2
PARM, 3495000, ALT_OFFSET, 0
PARM, 3496000, WP_RADIUS, 50
PARM, 3497000, WP_MAX_RADIUS, 0
PARM, 3498000, WP_LOITER_RAD, 80
PARM, 3499000, FENCE_ACTION, 0
PARM, 3500000, FENCE_TOTAL, 0
PARM, 3501000, FENCE_CHANNEL, 0
PARM, 3502000, FENCE_MINALT, 0
PARM, 3503000, FENCE_MAXALT, 0
PARM, 3504000, FENCE_RETALT, 0
PARM, 3505000, FENCE_AUTOENABLE, 0
PARM, 3506000, FENCE_RET_RALLY, 0
PARM, 3507000, STALL_PREVENTION, 1
PARM, 3508000, ARSPD_FBW_MIN, 10
PARM, 3509000, ARSPD_FBW_MAX, 30
PARM, 3510000, FBWB_ELEV_REV, 0
PARM, 3511000, TERRAIN_FOLLOW, 0
PARM, 3512000, TERRAIN_LOOKAHD, 2000
PARM, 3513000, FBWB_CLIMB_RATE, 2
PARM, 3514000, THR_MIN, 0
PARM, 3515000, THR_MAX, 100
PARM, 3516000, TKOFF_THR_MAX, 0
PARM, 3517000, THR_SLEWRATE, 100
PARM, 3518000, FLAP_SLEWRATE, 75
PARM, 3519000, THR_SUPP_MAN, 0
PARM, 3520000, THR_PASS_STAB, 0
PARM, 3521000, THR_FAILSAFE, 1
PARM, 3522000, THR_FS_VALUE, 950
PARM, 3523000, TRIM_THROTTLE, 50
PARM, 3524000, THROTTLE_NUDGE, 1
PARM, 3525000, FS_SHORT_ACTN, 0
PARM, 3526000, FS_SHORT_TIMEOUT, 1.5
PARM, 3527000, FS_LONG_ACTN, 0
PARM, 3528000, FS_LONG_TIMEOUT, 5
PARM, 3529000, FS_BATT_VOLTAGE, 0
PARM, 3530000, FS_BATT_MAH, 0
PARM, 3531000, FS_GCS_ENABL, 0
PARM, 3532000, FLTMODE_CH, 8
PARM, 3533000, FLTMODE1, 10
PARM, 3534000, FLTMODE2, 11
PARM, 3535000, FLTMODE3, 12
PARM, 3536000, FLTMODE4, 5
PARM, 3537000, FLTMODE5, 2
PARM, 3538000, FLTMODE6, 0
PARM, 3539000, INITIAL_MODE, 0
PARM, 3540000, LIM_ROLL_CD, 6500
PARM, 3541000, LIM_PITCH_MAX, 2500
PARM, 3542000, LIM_PITCH_MIN, -2000
PARM, 3543000, ACRO_ROLL_RATE, 180
PARM, 3544000, ACRO_PITCH_RATE, 180
PARM, 3545000, ACRO_LOCKING, 1
PARM, 3546000, GROUND_STEER_ALT, 0
PARM, 3547000, GROUND_STEER_DPS, 90
PARM, 3548000, TRIM_AUTO, 0
PARM, 3549000, ELEVON_MIXING, 0
PARM, 3550000, ELEVON_REVERSE, 0
PARM, 3551000, ELEVON_CH1_REV, 0
PARM, 3552000, ELEVON_CH2_REV, 0
PARM, 3553000, VTAIL_OUTPUT, 0
PARM, 3554000, ELEVON_OUTPUT, 0
PARM, 3555000, MIXING_GAIN, 0.5
PARM, 3556000, RUDDER_ONLY, 0
PARM, 3557000, SYS_NUM_RESETS, 10
PARM, 3558000, LOG_BITMASK, 65535
PARM, 3559000, RST_SWITCH_CH, 0
PARM, 3560000, RST_MISSION_CH, 0
PARM, 3561000, TRIM_ARSPD_CM, 2200
PARM, 3562000, SCALING_SPEED, 15
PARM, 3563000, MIN_GNDSPD_CM, 0
PARM, 3564000, TRIM_PITCH_CD, 0
PARM, 3565000, ALT_HOLD_RTL, 10000
PARM, 3566000, ALT_HOLD_FBWCM, 0
PARM, 3567000, MAG_ENABLE, 1
PARM, 3568000, FLAP_IN_CHANNEL, 0
PARM, 3569000, FLAPERON_OUTPUT, 0
PARM, 3570000, FLAP_1_PERCNT, 0
PARM, 3571000, FLAP_1_SPEED, 0
PARM, 3572000, FLAP_2_PERCNT, 0
PARM, 3573000, FLAP_2_SPEED, 0
PARM, 3574000, LAND_FLAP_PERCNT, 0
PARM, 3575000, RSSI_PIN, -1
PARM, 3576000, RSSI_RANGE, 5
PARM, 3577000, INVERTEDFLT_CH, 0
PARM, 3578000, HIL_MODE, 0
PARM, 3579000, HIL_SERVOS, 0
PARM, 3580000, HIL_ERR_LIMIT, 5
PARM, 3581000, RTL_AUTOLAND, 0
PARM, 3582000, TRIM_RC_AT_START, 0
PARM, 3583000, GND_ABS_PRESS, 100961.4
PARM, 3584000, GND_TEMP, 29.79274
PARM, 3585000, GND_ALT_OFFSET, 0
PARM, 3586000, GPS_TYPE, 1
PARM, 3587000, GPS_TYPE2, 0
PARM, 3588000, GPS_NAVFILTER, 8
PARM, 3589000, GPS_AUTO_SWITCH, 1
PARM, 3590000, GPS_MIN_DGPS, 100
PARM, 3591000, GPS_SBAS_MODE, 2
PARM, 3592000, GPS_MIN_ELEV, -100
PARM, 3593000, GPS_INJECT_TO, 127
PARM, 3594000, GPS_SBP_LOGMASK, -256
PARM, 3595000, GPS_RAW_DATA, 0
PARM, 3596000, GPS_GNSS_MODE, 0
PARM, 3597000, CAM_TRIGG_TYPE, 0
PARM, 3598000, CAM_DURATION, 10
PARM, 3599000, CAM_SERVO_ON, 1300
PARM, 3600000, CAM_SERVO_OFF, 1100
PARM, 3601000, CAM_TRIGG_DIST, 0
PARM, 3602000, ARMING_REQUIRE, 1
PARM, 3603000, ARMING_CHECK, 1
PARM, 3604000, ARMING_RUDDER, 1
PARM, 3605000, RELAY_PIN, 13
PARM, 3606000, RELAY_PIN2, -1
PARM, 3607000, RELAY_PIN3, -1
PARM, 3608000, RELAY_PIN4, -1
PARM, 3609000, RELAY_DEFAULT, 0
PARM, 3610000, RNGFND_TYPE, 0
PARM, 3611000, RNGFND_PIN, -1
PARM, 3612000, RNGFND_SCALING, 3
PARM, 3613000, RNGFND_OFFSET, 0
PARM, 3614000, RNGFND_FUNCTION, 0
PARM, 3615000, RNGFND_MIN_CM, 20
PARM, 3616000, RNGFND_MAX_CM, 700
PARM, 3617000, RNGFND_STOP_PIN, -1
PARM, 3618000, RNGFND_SETTLE, 0
PARM, 3619000, RNGFND_RMETRIC, 1
PARM, 3620000, RNGFND_PWRRNG, 0
PARM, 3621000, RNGFND_GNDCLEAR, 10
PARM, 3622000, RNGFND2_TYPE, 0
PARM, 3623000, RNGFND2_PIN, -1
